sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 09:57:13s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:14s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:15s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:16s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:17s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:18s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:19s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:20s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:21s,2.62E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:22s,2.62E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:23s,2.62E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:24s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:25s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:26s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:27s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:28s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:29s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:30s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:31s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:32s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:33s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:34s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:35s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:36s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:37s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:38s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:39s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:40s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:41s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:42s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:43s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:44s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:45s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.08E+01,2.08E+01,2.08E+01
'18-09-24 09:57:46s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:47s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:48s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:49s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:50s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:51s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:52s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:53s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:54s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
